id,sentence,difficulty
263,Voici mon chat.,A1
264,Je m'appelle Marie.,A1
265,Il a un chien.,A1
266,Elle est ma soeur.,A1
267,Je m'appelle Marie.,A1
268,Voici mon chat.,A1
269,Je m'appelle Marie.,A1
270,Je m'appelle Marie.,A1
271,Je m'appelle Marie.,A1
272,Il a un chien.,A1
273,Je suis étudiant.,A1
274,Je m'appelle Marie.,A1
275,Voici mon chat.,A1
276,J'aime le chocolat.,A1
277,Je suis étudiant.,A1
278,Il a un chien.,A1
279,Voici mon chat.,A1
280,Nous allons à l'école.,A1
281,Voici mon chat.,A1
282,Il a un chien.,A1
283,Voici mon chat.,A1
284,J'aime le chocolat.,A1
285,Il a un chien.,A1
286,J'aime le chocolat.,A1
287,Il fait beau aujourd'hui.,A1
288,J'aime le chocolat.,A1
289,Tu as un livre.,A1
290,Voici mon chat.,A1
291,Il fait beau aujourd'hui.,A1
292,Il fait beau aujourd'hui.,A1
293,Voici mon chat.,A1
294,Voici mon chat.,A1
295,Voici mon chat.,A1
296,Je suis étudiant.,A1
297,Je m'appelle Marie.,A1
298,Elle est ma soeur.,A1
299,Nous allons à l'école.,A1
300,Il fait beau aujourd'hui.,A1
301,J'aime le chocolat.,A1
302,Il fait beau aujourd'hui.,A1
303,Tu as un livre.,A1
304,Nous allons à l'école.,A1
305,"Bonjour, comment ça va?",A1
306,Tu as un livre.,A1
307,J'aime le chocolat.,A1
308,Tu as un livre.,A1
309,Tu as un livre.,A1
310,Elle est ma soeur.,A1
311,Je m'appelle Marie.,A1
312,Il a un chien.,A1
313,Je suis étudiant.,A1
314,Voici mon chat.,A1
315,Il fait beau aujourd'hui.,A1
316,J'aime le chocolat.,A1
317,Il a un chien.,A1
318,Nous allons à l'école.,A1
319,"Bonjour, comment ça va?",A1
320,Nous allons à l'école.,A1
321,Voici mon chat.,A1
322,Il fait beau aujourd'hui.,A1
323,Nous allons à l'école.,A1
324,Tu as un livre.,A1
325,Il fait beau aujourd'hui.,A1
326,Nous allons à l'école.,A1
327,Je suis étudiant.,A1
328,Nous allons à l'école.,A1
329,Je m'appelle Marie.,A1
330,"Bonjour, comment ça va?",A1
331,"Bonjour, comment ça va?",A1
332,"Bonjour, comment ça va?",A1
333,Je suis étudiant.,A1
334,Je suis étudiant.,A1
335,Voici mon chat.,A1
336,Voici mon chat.,A1
337,Voici mon chat.,A1
338,Nous allons à l'école.,A1
339,Il fait beau aujourd'hui.,A1
340,Voici mon chat.,A1
341,J'aime le chocolat.,A1
342,Nous allons à l'école.,A1
343,Voici mon chat.,A1
344,Elle est ma soeur.,A1
345,Nous allons à l'école.,A1
346,Il fait beau aujourd'hui.,A1
347,Je suis étudiant.,A1
348,Il a un chien.,A1
349,"Bonjour, comment ça va?",A1
350,Il a un chien.,A1
351,"Bonjour, comment ça va?",A1
352,Je suis étudiant.,A1
353,Voici mon chat.,A1
354,Voici mon chat.,A1
355,Elle est ma soeur.,A1
356,Il fait beau aujourd'hui.,A1
357,Voici mon chat.,A1
358,Il fait beau aujourd'hui.,A1
359,Nous allons à l'école.,A1
360,Je suis étudiant.,A1
361,J'aime le chocolat.,A1
362,Je m'appelle Marie.,A1
363,J'aime le chocolat.,A1
364,Il fait beau aujourd'hui.,A1
365,Il a un chien.,A1
366,"Bonjour, comment ça va?",A1
367,Il a un chien.,A1
368,Voici mon chat.,A1
369,Elle est ma soeur.,A1
370,Il fait beau aujourd'hui.,A1
371,Voici mon chat.,A1
372,Elle est ma soeur.,A1
373,Je suis étudiant.,A1
374,Il fait beau aujourd'hui.,A1
375,Il a un chien.,A1
376,"Bonjour, comment ça va?",A1
377,Il a un chien.,A1
378,Elle est ma soeur.,A1
379,Tu as un livre.,A1
380,Voici mon chat.,A1
381,"Bonjour, comment ça va?",A1
382,Elle est ma soeur.,A1
383,Elle est ma soeur.,A1
384,Je m'appelle Marie.,A1
385,Tu as un livre.,A1
386,Je suis étudiant.,A1
387,Il a un chien.,A1
388,Elle est ma soeur.,A1
389,J'aime le chocolat.,A1
390,Nous allons à l'école.,A1
391,J'aime le chocolat.,A1
392,Nous allons à l'école.,A1
393,Elle est ma soeur.,A1
394,J'aime le chocolat.,A1
395,Je m'appelle Marie.,A1
396,Elle est ma soeur.,A1
397,Il fait beau aujourd'hui.,A1
398,J'aime le chocolat.,A1
399,J'aime le chocolat.,A1
400,Il a un chien.,A1
401,J'aime le chocolat.,A1
402,Il fait beau aujourd'hui.,A1
403,"Bonjour, comment ça va?",A1
404,Il fait beau aujourd'hui.,A1
405,Tu as un livre.,A1
406,Il fait beau aujourd'hui.,A1
407,Voici mon chat.,A1
408,Il fait beau aujourd'hui.,A1
409,Je m'appelle Marie.,A1
410,Tu as un livre.,A1
411,Elle est ma soeur.,A1
412,Nous allons à l'école.,A1
413,Je m'appelle Marie.,A1
414,Il a un chien.,A1
415,Je m'appelle Marie.,A1
416,Il fait beau aujourd'hui.,A1
417,Il a un chien.,A1
418,Il fait beau aujourd'hui.,A1
419,Tu as un livre.,A1
420,Tu as un livre.,A1
421,Tu as un livre.,A1
422,Il a un chien.,A1
423,Je suis étudiant.,A1
424,Il a un chien.,A1
425,Tu as un livre.,A1
426,Il fait beau aujourd'hui.,A1
427,Je m'appelle Marie.,A1
428,Nous allons à l'école.,A1
429,Il a un chien.,A1
430,Voici mon chat.,A1
431,Tu as un livre.,A1
432,Je suis étudiant.,A1
433,J'aime le chocolat.,A1
434,Il fait beau aujourd'hui.,A1
435,J'aime le chocolat.,A1
436,Il fait beau aujourd'hui.,A1
437,Je suis étudiant.,A1
438,Il fait beau aujourd'hui.,A1
439,Tu as un livre.,A1
440,Je suis étudiant.,A1
441,"Bonjour, comment ça va?",A1
442,Il fait beau aujourd'hui.,A1
443,J'aime le chocolat.,A1
444,Nous allons à l'école.,A1
445,"Bonjour, comment ça va?",A1
446,Nous allons à l'école.,A1
447,Nous allons à l'école.,A1
448,Voici mon chat.,A1
449,Voici mon chat.,A1
450,Il a un chien.,A1
451,Voici mon chat.,A1
452,"Bonjour, comment ça va?",A1
453,Je suis étudiant.,A1
454,Je m'appelle Marie.,A1
455,Voici mon chat.,A1
456,Je suis étudiant.,A1
457,Nous allons à l'école.,A1
458,Nous allons à l'école.,A1
459,Nous allons à l'école.,A1
460,"Bonjour, comment ça va?",A1
461,"Bonjour, comment ça va?",A1
462,J'aime le chocolat.,A1
463,Tu as un livre.,A1
464,Nous allons à l'école.,A1
465,Tu as un livre.,A1
466,Voici mon chat.,A1
467,Il a un chien.,A1
468,Elle est ma soeur.,A1
469,Il fait beau aujourd'hui.,A1
470,Nous allons à l'école.,A1
471,Il fait beau aujourd'hui.,A1
472,J'aime le chocolat.,A1
473,Elle est ma soeur.,A1
474,"Bonjour, comment ça va?",A1
475,Voici mon chat.,A1
476,J'aime le chocolat.,A1
477,Je m'appelle Marie.,A1
478,Il fait beau aujourd'hui.,A1
479,Elle est ma soeur.,A1
480,J'aime le chocolat.,A1
481,Voici mon chat.,A1
482,Elle est ma soeur.,A1
483,Il a un chien.,A1
484,Je m'appelle Marie.,A1
485,"Bonjour, comment ça va?",A1
486,J'aime le chocolat.,A1
487,Nous allons à l'école.,A1
488,Nous allons à l'école.,A1
489,Il fait beau aujourd'hui.,A1
490,Tu as un livre.,A1
491,Il fait beau aujourd'hui.,A1
492,Nous allons à l'école.,A1
493,J'aime le chocolat.,A1
494,Nous allons à l'école.,A1
495,Elle est ma soeur.,A1
496,Tu as un livre.,A1
497,Nous allons à l'école.,A1
498,Voici mon chat.,A1
499,Je m'appelle Marie.,A1
500,Je suis étudiant.,A1
501,Il fait beau aujourd'hui.,A1
502,Je m'appelle Marie.,A1
503,Nous allons à l'école.,A1
504,Il fait beau aujourd'hui.,A1
505,Tu as un livre.,A1
506,Il a un chien.,A1
507,Voici mon chat.,A1
508,Voici mon chat.,A1
509,Voici mon chat.,A1
510,Elle est ma soeur.,A1
511,"Bonjour, comment ça va?",A1
512,Il fait beau aujourd'hui.,A1
513,"Bonjour, comment ça va?",A1
514,"Bonjour, comment ça va?",A1
515,Je m'appelle Marie.,A1
516,Je suis étudiant.,A1
517,J'aime le chocolat.,A1
518,Je suis étudiant.,A1
519,Nous allons à l'école.,A1
520,J'aime le chocolat.,A1
521,Elle est ma soeur.,A1
522,Il a un chien.,A1
523,Il fait beau aujourd'hui.,A1
524,Voici mon chat.,A1
525,Il a un chien.,A1
526,Nous allons à l'école.,A1
527,Je suis étudiant.,A1
528,Je suis étudiant.,A1
529,Je suis étudiant.,A1
530,Il a un chien.,A1
531,Je m'appelle Marie.,A1
532,"Bonjour, comment ça va?",A1
533,Il fait beau aujourd'hui.,A1
534,"Bonjour, comment ça va?",A1
535,Il a un chien.,A1
536,Je m'appelle Marie.,A1
537,Elle est ma soeur.,A1
538,"Bonjour, comment ça va?",A1
539,Il a un chien.,A1
540,Nous allons à l'école.,A1
541,Elle est ma soeur.,A1
542,Elle est ma soeur.,A1
543,Tu as un livre.,A1
544,Je suis étudiant.,A1
545,Voici mon chat.,A1
546,J'aime le chocolat.,A1
547,Je suis étudiant.,A1
548,Nous allons à l'école.,A1
549,Nous allons à l'école.,A1
550,Je suis étudiant.,A1
551,Il a un chien.,A1
552,Elle est ma soeur.,A1
553,Voici mon chat.,A1
554,Tu as un livre.,A1
555,J'aime le chocolat.,A1
556,Elle est ma soeur.,A1
557,Il a un chien.,A1
558,Je suis étudiant.,A1
559,Voici mon chat.,A1
560,Tu as un livre.,A1
561,Elle est ma soeur.,A1
562,Elle est ma soeur.,A1
563,J'aime le chocolat.,A1
564,J'aime le chocolat.,A1
565,Il a un chien.,A1
566,Nous allons à l'école.,A1
567,Nous allons à l'école.,A1
568,J'aime le chocolat.,A1
569,Il a un chien.,A1
570,Elle est ma soeur.,A1
571,Tu as un livre.,A1
572,Voici mon chat.,A1
573,Il a un chien.,A1
574,Je suis étudiant.,A1
575,Je suis étudiant.,A1
576,Voici mon chat.,A1
577,Elle est ma soeur.,A1
578,J'aime le chocolat.,A1
579,J'aime le chocolat.,A1
580,Voici mon chat.,A1
581,Il fait beau aujourd'hui.,A1
582,Voici mon chat.,A1
583,Il fait beau aujourd'hui.,A1
584,Je suis étudiant.,A1
585,J'aime le chocolat.,A1
586,Elle est ma soeur.,A1
587,J'aime le chocolat.,A1
588,Voici mon chat.,A1
589,Elle est ma soeur.,A1
590,"Bonjour, comment ça va?",A1
591,Je m'appelle Marie.,A1
592,J'aime le chocolat.,A1
593,Voici mon chat.,A1
594,Nous allons à l'école.,A1
595,Tu as un livre.,A1
596,Il fait beau aujourd'hui.,A1
597,Tu as un livre.,A1
598,Il a un chien.,A1
599,Nous allons à l'école.,A1
600,Tu as un livre.,A1
601,Il a un chien.,A1
602,Voici mon chat.,A1
603,Voici mon chat.,A1
604,"Bonjour, comment ça va?",A1
605,"Bonjour, comment ça va?",A1
606,Nous allons à l'école.,A1
607,J'aime le chocolat.,A1
608,"Bonjour, comment ça va?",A1
609,Il a un chien.,A1
610,Nous allons à l'école.,A1
611,Nous allons à l'école.,A1
612,"Bonjour, comment ça va?",A1
613,Je m'appelle Marie.,A1
614,Voici mon chat.,A1
615,Il fait beau aujourd'hui.,A1
616,Il a un chien.,A1
617,"Bonjour, comment ça va?",A1
618,Voici mon chat.,A1
619,Elle est ma soeur.,A1
620,Tu as un livre.,A1
621,Je suis étudiant.,A1
622,J'aime le chocolat.,A1
623,J'aime le chocolat.,A1
624,"Bonjour, comment ça va?",A1
625,Nous allons à l'école.,A1
626,Il a un chien.,A1
627,Voici mon chat.,A1
628,Il a un chien.,A1
629,Elle est ma soeur.,A1
630,Tu as un livre.,A1
631,"Bonjour, comment ça va?",A1
632,J'aime le chocolat.,A1
633,Je suis étudiant.,A1
634,Je m'appelle Marie.,A1
635,Nous allons à l'école.,A1
636,"Bonjour, comment ça va?",A1
637,Voici mon chat.,A1
638,Il a un chien.,A1
639,Je suis étudiant.,A1
640,J'aime le chocolat.,A1
641,Je m'appelle Marie.,A1
642,Tu as un livre.,A1
643,Tu as un livre.,A1
644,Il fait beau aujourd'hui.,A1
645,Il fait beau aujourd'hui.,A1
646,Il a un chien.,A1
647,Je m'appelle Marie.,A1
648,Je m'appelle Marie.,A1
649,J'aime le chocolat.,A1
650,Nous allons à l'école.,A1
651,Voici mon chat.,A1
652,Il fait beau aujourd'hui.,A1
653,"Bonjour, comment ça va?",A1
654,J'aime le chocolat.,A1
655,Voici mon chat.,A1
656,Nous allons à l'école.,A1
657,Je suis étudiant.,A1
658,"Bonjour, comment ça va?",A1
659,J'aime le chocolat.,A1
660,Elle est ma soeur.,A1
661,Je m'appelle Marie.,A1
662,Je suis étudiant.,A1
663,Tu as un livre.,A1
664,Je suis étudiant.,A1
665,Je suis étudiant.,A1
666,Nous allons à l'école.,A1
667,Je m'appelle Marie.,A1
668,Elle est ma soeur.,A1
669,Je m'appelle Marie.,A1
670,Nous allons à l'école.,A1
671,Il a un chien.,A1
672,Voici mon chat.,A1
673,Tu as un livre.,A1
674,Nous allons à l'école.,A1
675,Il fait beau aujourd'hui.,A1
676,Il fait beau aujourd'hui.,A1
677,J'aime le chocolat.,A1
678,Nous allons à l'école.,A1
679,Tu as un livre.,A1
680,Elle est ma soeur.,A1
681,Il fait beau aujourd'hui.,A1
682,"Bonjour, comment ça va?",A1
683,Voici mon chat.,A1
684,Il a un chien.,A1
685,Je m'appelle Marie.,A1
686,Il fait beau aujourd'hui.,A1
687,J'aime le chocolat.,A1
688,Elle est ma soeur.,A1
689,Elle est ma soeur.,A1
690,Elle est ma soeur.,A1
691,Nous allons à l'école.,A1
692,Tu as un livre.,A1
693,Je m'appelle Marie.,A1
694,"Bonjour, comment ça va?",A1
695,Je suis étudiant.,A1
696,Il a un chien.,A1
697,J'aime le chocolat.,A1
698,"Bonjour, comment ça va?",A1
699,Je suis étudiant.,A1
700,Tu as un livre.,A1
701,"Bonjour, comment ça va?",A1
702,J'aime le chocolat.,A1
703,Tu as un livre.,A1
704,J'aime le chocolat.,A1
705,Tu as un livre.,A1
706,Il fait beau aujourd'hui.,A1
707,Tu as un livre.,A1
708,Je m'appelle Marie.,A1
709,Il a un chien.,A1
710,J'aime le chocolat.,A1
711,J'aime le chocolat.,A1
712,Je m'appelle Marie.,A1
713,Je m'appelle Marie.,A1
714,J'aime le chocolat.,A1
715,Il fait beau aujourd'hui.,A1
716,Je m'appelle Marie.,A1
717,Je m'appelle Marie.,A1
718,"Bonjour, comment ça va?",A1
719,J'aime le chocolat.,A1
720,Elle est ma soeur.,A1
721,Il a un chien.,A1
722,Je suis étudiant.,A1
723,Je suis étudiant.,A1
724,Il a un chien.,A1
725,Il fait beau aujourd'hui.,A1
726,"Bonjour, comment ça va?",A1
727,J'aime le chocolat.,A1
728,Nous allons à l'école.,A1
729,Elle est ma soeur.,A1
730,Nous allons à l'école.,A1
731,Je m'appelle Marie.,A1
732,J'aime le chocolat.,A1
733,Il fait beau aujourd'hui.,A1
734,Elle est ma soeur.,A1
735,"Bonjour, comment ça va?",A1
736,Elle est ma soeur.,A1
737,J'aime le chocolat.,A1
738,Tu as un livre.,A1
739,Il fait beau aujourd'hui.,A1
740,Je suis étudiant.,A1
741,Voici mon chat.,A1
742,"Bonjour, comment ça va?",A1
743,Je m'appelle Marie.,A1
744,Je m'appelle Marie.,A1
745,Il a un chien.,A1
746,Tu as un livre.,A1
747,J'aime le chocolat.,A1
748,Nous allons à l'école.,A1
749,Voici mon chat.,A1
750,J'aime le chocolat.,A1
751,Il fait beau aujourd'hui.,A1
752,Je m'appelle Marie.,A1
753,Tu as un livre.,A1
754,Tu as un livre.,A1
755,Je m'appelle Marie.,A1
756,"Bonjour, comment ça va?",A1
757,Tu as un livre.,A1
758,Il a un chien.,A1
759,Voici mon chat.,A1
760,Nous allons à l'école.,A1
761,Il a un chien.,A1
762,J'aime le chocolat.,A1
763,"Bonjour, comment ça va?",A1
764,Elle est ma soeur.,A1
765,Il a un chien.,A1
766,Je m'appelle Marie.,A1
767,J'aime le chocolat.,A1
768,Il a un chien.,A1
769,Il fait beau aujourd'hui.,A1
770,Il fait beau aujourd'hui.,A1
771,"Bonjour, comment ça va?",A1
772,Je m'appelle Marie.,A1
773,Je suis étudiant.,A1
774,"Bonjour, comment ça va?",A1
775,Il a un chien.,A1
776,Voici mon chat.,A1
777,Je suis étudiant.,A1
778,Je m'appelle Marie.,A1
779,"Bonjour, comment ça va?",A1
780,"Bonjour, comment ça va?",A1
781,Je m'appelle Marie.,A1
782,Je suis étudiant.,A1
783,Voici mon chat.,A1
784,Nous allons à l'école.,A1
785,J'aime le chocolat.,A1
786,Il fait beau aujourd'hui.,A1
787,Elle est ma soeur.,A1
788,Il fait beau aujourd'hui.,A1
789,Tu as un livre.,A1
790,Voici mon chat.,A1
791,Je m'appelle Marie.,A1
792,Tu as un livre.,A1
793,Elle est ma soeur.,A1
794,Voici mon chat.,A1
795,Il a un chien.,A1
796,Il a un chien.,A1
797,Tu as un livre.,A1
798,Il a un chien.,A1
799,Elle est ma soeur.,A1
800,Il fait beau aujourd'hui.,A1
801,Tu as un livre.,A1
802,Voici mon chat.,A1
803,Tu as un livre.,A1
804,"Bonjour, comment ça va?",A1
805,Tu as un livre.,A1
806,Je m'appelle Marie.,A1
807,Il fait beau aujourd'hui.,A1
808,Il fait beau aujourd'hui.,A1
809,J'aime le chocolat.,A1
810,Je m'appelle Marie.,A1
811,"Bonjour, comment ça va?",A1
812,Tu as un livre.,A1
813,Tu as un livre.,A1
814,Il fait beau aujourd'hui.,A1
815,Je m'appelle Marie.,A1
816,"Bonjour, comment ça va?",A1
817,Nous allons à l'école.,A1
818,Nous allons à l'école.,A1
819,Il fait beau aujourd'hui.,A1
820,Nous allons à l'école.,A1
821,Nous allons à l'école.,A1
822,Je suis étudiant.,A1
823,Je suis étudiant.,A1
824,Elle est ma soeur.,A1
825,Il a un chien.,A1
826,Nous allons à l'école.,A1
827,Il fait beau aujourd'hui.,A1
828,Je m'appelle Marie.,A1
829,Nous allons à l'école.,A1
830,Elle est ma soeur.,A1
831,Tu as un livre.,A1
832,J'aime le chocolat.,A1
833,Il a un chien.,A1
834,J'aime le chocolat.,A1
835,Tu as un livre.,A1
836,Je m'appelle Marie.,A1
837,Il a un chien.,A1
838,Voici mon chat.,A1
839,Tu as un livre.,A1
840,J'aime le chocolat.,A1
841,"Bonjour, comment ça va?",A1
842,J'aime le chocolat.,A1
843,"Bonjour, comment ça va?",A1
844,Il a un chien.,A1
845,J'aime le chocolat.,A1
846,Elle est ma soeur.,A1
847,"Bonjour, comment ça va?",A1
848,Voici mon chat.,A1
849,Elle est ma soeur.,A1
850,Tu as un livre.,A1
851,Voici mon chat.,A1
852,Nous allons à l'école.,A1
853,Je suis étudiant.,A1
854,Tu as un livre.,A1
855,"Bonjour, comment ça va?",A1
856,Nous allons à l'école.,A1
857,Il a un chien.,A1
858,J'aime le chocolat.,A1
859,Tu as un livre.,A1
860,Nous allons à l'école.,A1
861,Il a un chien.,A1
862,Il fait beau aujourd'hui.,A1
863,Il a un chien.,A1
864,"Bonjour, comment ça va?",A1
865,"Bonjour, comment ça va?",A1
866,J'aime le chocolat.,A1
867,"Bonjour, comment ça va?",A1
868,Je suis étudiant.,A1
869,Je m'appelle Marie.,A1
870,Je suis étudiant.,A1
